stage,lon,lat,val
pearson_corr_period1,76.8293952542269,43.11870124157166,-0.11444658010672804
pearson_corr_period1,76.97218533746839,43.17794989976821,-0.0259245058860989
pearson_corr_period1,76.9025845029108,43.120495650551305,0.04602485034746758
pearson_corr_period1,76.8453577209268,43.14433284682003,0.15844499913857607
pearson_corr_period1,76.90210641953374,43.16940448955381,-0.03852878302277783
pearson_corr_period1,76.96452186455129,43.0825400445238,-0.030946184850573343
pearson_corr_period1,76.98227085991661,43.19073824440136,0.1264888536514481
pearson_corr_period1,76.96092262405836,43.176835642955176,0.037692830413582075
pearson_corr_period1,77.05203208539677,43.18516939221273,-0.0784924767227254
pearson_corr_period1,76.97323420217529,43.179706962441614,-0.2640075574178133
pearson_corr_period1,76.93187781595438,43.17514216107809,-0.08894767182063694
pearson_corr_period1,76.99011058199383,43.170627890825145,0.005280925293785494
pearson_corr_period1,76.87299914367762,43.1450130712377,0.17546270309595957
pearson_corr_period1,77.02780527648252,43.08237200535942,0.09397833307832168
pearson_corr_period1,76.86994704919078,43.13805202526291,-0.2186224110024202
pearson_corr_period1,76.91642139748829,43.17252613530077,0.034826402116171676
pearson_corr_period1,77.0549431597096,43.1164128884075,-0.13150042651419813
pearson_corr_period1,76.89135690129699,43.198778824282584,0.1897072457246389
pearson_corr_period1,77.0555925740805,43.199925073691155,0.06466947219868013
pearson_corr_period1,76.927046676015,43.11235063539577,0.13663428431456337
pearson_corr_period1,76.99221275179913,43.09234372139549,-0.0219866398199111
pearson_corr_period1,77.04313612217626,43.21992107493194,-0.03672138248953495
pearson_corr_period1,77.02797641318804,43.070331531226444,-0.0043837515808184575
pearson_corr_period1,77.06424988759784,43.19754539436053,0.017385864636985236
pearson_corr_period1,76.8522504115547,43.240178513754344,0.014503937971235531
pearson_corr_period1,77.04718201175376,43.161752559462776,0.06684921029144335
pearson_corr_period1,77.00608058699494,43.15516098751276,-0.049217675339260344
pearson_corr_period1,76.83639403034127,43.16775133066668,0.06781158793724673
pearson_corr_period1,77.0561661530086,43.1820595860425,0.012241277437937823
pearson_corr_period1,77.06359399434822,43.20156610440478,-0.024695498229482332
pearson_corr_period1,76.94383293274763,43.120048855054,0.1785791565286823
pearson_corr_period1,77.01531687854876,43.15458010792394,0.02939594396167689
pearson_corr_period1,76.85774226429713,43.12345421911479,-0.08805142105004586
pearson_corr_period1,77.03658712011558,43.19429090391753,0.15404498112350293
pearson_corr_period1,77.0390305544386,43.16693296084296,0.14098399911627618
pearson_corr_period1,76.86371263407236,43.19721097294377,-0.15158878530381653
pearson_corr_period1,76.85957910267106,43.19019889065159,-0.12713104325249955
pearson_corr_period1,77.04921452176887,43.11090974029493,-0.2117788939516552
pearson_corr_period1,77.01525017824018,43.22932474918009,-0.06947189585626029
pearson_corr_period1,77.00238972141311,43.22744860082231,-0.11259181710994039
pearson_corr_period1,77.03118621335582,43.197351203460336,-0.10914432907546942
