collection,scene_index
data_acquisition_s2,20240229T054751_20240229T054758_T43TFH
data_acquisition_s2,20240229T054751_20240229T054758_T43TFJ
data_acquisition_s2,20240305T054719_20240305T055640_T43TFH
data_acquisition_s2,20240305T054719_20240305T055640_T43TFJ
data_acquisition_s2,20240315T054639_20240315T055528_T43TFH
data_acquisition_s2,20240317T053641_20240317T054430_T43TFH
data_acquisition_s2,20240317T053641_20240317T054430_T43TFJ
data_acquisition_s2,20240325T054639_20240325T054926_T43TFH
data_acquisition_s2,20240325T054639_20240325T054926_T43TFJ
data_acquisition_s2,20240327T053641_20240327T053939_T43TFH
data_acquisition_s2,20240401T053639_20240401T054331_T43TFH
data_acquisition_s2,20240401T053639_20240401T054331_T43TFJ
data_acquisition_s2,20240406T053641_20240406T054547_T43TFH
data_acquisition_s2,20240406T053641_20240406T054547_T43TFJ
data_acquisition_s2,20240411T053639_20240411T054046_T43TFH
data_acquisition_s2,20240419T054641_20240419T055435_T43TFJ
data_acquisition_s2,20240421T053639_20240421T054158_T43TFH
data_acquisition_s2,20240421T053639_20240421T054158_T43TFJ
data_acquisition_s2,20240501T053639_20240501T054158_T43TFJ
data_acquisition_s2,20240509T054641_20240509T055101_T43TFH
data_acquisition_s2,20240509T054641_20240509T055101_T43TFJ
data_acquisition_s2,20240514T054639_20240514T055022_T43TFH
data_acquisition_s2,20240514T054639_20240514T055022_T43TFJ
data_acquisition_s2,20240516T053641_20240516T054505_T43TFH
data_acquisition_s2,20240524T054639_20240524T054929_T43TFH
data_acquisition_s2,20240524T054639_20240524T054929_T43TFJ
data_acquisition_s2,20240529T055021_20240529T055018_T43TFJ
data_acquisition_s2,20240531T053639_20240531T054654_T43TFH
data_acquisition_s2,20240531T053639_20240531T054654_T43TFJ
data_acquisition_s2,20240603T054639_20240603T055535_T43TFJ
data_acquisition_s2,20240605T053651_20240605T054040_T43TFH
data_acquisition_s2,20240605T053651_20240605T054040_T43TFJ
data_acquisition_s2,20240608T054641_20240608T054913_T43TFJ
data_acquisition_s2,20240610T053649_20240610T054201_T43TFH
data_acquisition_s2,20240610T053649_20240610T054201_T43TFJ
data_acquisition_s2,20240615T053651_20240615T054139_T43TFJ
data_acquisition_s2,20240618T054641_20240618T054935_T43TFJ
data_acquisition_s2,20240620T053649_20240620T054200_T43TFH
data_acquisition_s2,20240620T053649_20240620T054200_T43TFJ
data_acquisition_s2,20240625T053651_20240625T054119_T43TFJ
data_acquisition_s2,20240628T054641_20240628T054802_T43TFH
data_acquisition_s2,20240628T054641_20240628T054802_T43TFJ
data_acquisition_s2,20240630T053649_20240630T054318_T43TFJ
data_acquisition_s2,20240703T054639_20240703T055541_T43TFH
data_acquisition_s2,20240703T054639_20240703T055541_T43TFJ
data_acquisition_s2,20240710T053649_20240710T053943_T43TFJ
data_acquisition_s2,20240720T053649_20240720T054201_T43TFJ
data_acquisition_s2,20240723T054639_20240723T054932_T43TFJ
data_acquisition_s2,20240725T053641_20240725T054649_T43TFH
data_acquisition_s2,20240725T053641_20240725T054649_T43TFJ
data_acquisition_s2,20240728T054641_20240728T054755_T43TFH
data_acquisition_s2,20240728T054641_20240728T054755_T43TFJ
data_acquisition_s2,20240730T053639_20240730T054655_T43TFJ
data_acquisition_s2,20240804T053641_20240804T054526_T43TFH
data_acquisition_s2,20240804T053641_20240804T054526_T43TFJ
data_acquisition_s2,20240807T054641_20240807T054840_T43TFH
data_acquisition_s2,20240807T054641_20240807T054840_T43TFJ
data_acquisition_s2,20240809T053649_20240809T054626_T43TFH
data_acquisition_s2,20240809T053649_20240809T054626_T43TFJ
data_acquisition_s2,20240812T054639_20240812T054752_T43TFJ
data_acquisition_s2,20240819T053639_20240819T054500_T43TFH
data_acquisition_s2,20240819T053639_20240819T054500_T43TFJ
data_acquisition_s2,20240822T054639_20240822T054747_T43TFH
data_acquisition_s2,20240822T054639_20240822T054747_T43TFJ
data_acquisition_s2,20240827T054631_20240827T055025_T43TFH
data_acquisition_s2,20240827T054631_20240827T055025_T43TFJ
data_acquisition_s2,20240829T053649_20240829T054537_T43TFH
data_acquisition_s2,20240829T053649_20240829T054537_T43TFJ
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230604T010457_20230604T010522_048829_05DF45_946E
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230605T125122_20230605T125147_048851_05DFF5_265F
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230611T005644_20230611T005713_048931_05E259_D209
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230612T124314_20230612T124339_048953_05E300_DA27
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230616T010457_20230616T010522_049004_05E498_5B55
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230617T125123_20230617T125148_049026_05E54A_68AD
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230623T005644_20230623T005713_049106_05E7AB_F1F0
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230624T124315_20230624T124340_049128_05E851_0F47
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230629T125123_20230629T125148_049201_05EA97_7418
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230705T005645_20230705T005714_049281_05ED0A_06C0
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230706T124315_20230706T124340_049303_05EDB2_3348
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230710T010459_20230710T010524_049354_05EF54_BC0B
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230711T125124_20230711T125149_049376_05F006_A845
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230717T005646_20230717T005715_049456_05F271_E9D8
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230718T124316_20230718T124341_049478_05F315_A3E6
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230722T010500_20230722T010525_049529_05F4A8_DC8A
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230723T125125_20230723T125150_049551_05F559_E846
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230729T005647_20230729T005716_049631_05F7D5_BB48
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230730T124317_20230730T124342_049653_05F87E_F703
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230804T125126_20230804T125151_049726_05FAC0_5B52
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230810T005646_20230810T005715_049806_05FD60_7F34
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230811T124317_20230811T124342_049828_05FE11_ED2D
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230816T125126_20230816T125151_049901_06009F_A90B
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230822T005648_20230822T005717_049981_06035A_5127
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230823T124318_20230823T124343_050003_060404_C3F0
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230827T010502_20230827T010527_050054_0605D5_FE5A
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230828T125127_20230828T125152_050076_06069B_815A
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230903T005649_20230903T005718_050156_06095B_970F
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230904T124319_20230904T124344_050178_060A0D_92F0
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230908T010502_20230908T010527_050229_060BC9_31E2
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230909T125128_20230909T125153_050251_060C8E_419E
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230915T005649_20230915T005718_050331_060F48_A35F
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230916T124319_20230916T124344_050353_060FF6_C243
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230920T010503_20230920T010528_050404_0611C5_2DA0
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230921T125128_20230921T125153_050426_061280_7F2C
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230927T005649_20230927T005719_050506_061545_87E4
data_acquisition_s1,S1A_IW_GRDH_1SDV_20230928T124319_20230928T124344_050528_0615F1_B00B
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231002T010503_20231002T010528_050579_0617C0_45CF
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231003T125128_20231003T125153_050601_061889_8D1D
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231009T005649_20231009T005719_050681_061B48_E38A
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231010T124319_20231010T124344_050703_061BF6_EFD7
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231014T010503_20231014T010528_050754_061DC1_F15A
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231015T125128_20231015T125153_050776_061E8C_A201
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231021T005650_20231021T005719_050856_06213A_63F2
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231022T124320_20231022T124345_050878_0621E8_10A1
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231026T010503_20231026T010528_050929_0623B9_A5D3
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231027T125128_20231027T125153_050951_062478_E1E4
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231102T005649_20231102T005718_051031_062740_1A33
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231103T124319_20231103T124344_051053_0627EA_57FA
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231107T010502_20231107T010527_051104_0629B7_64F8
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231108T125127_20231108T125152_051126_062A80_D42A
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231114T005649_20231114T005718_051206_062D46_8982
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231115T124319_20231115T124344_051228_062DF7_3BE7
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231119T010502_20231119T010527_051279_062FC6_36EC
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231120T125128_20231120T125153_051301_06308F_919A
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231126T005648_20231126T005717_051381_06334E_BC64
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231127T124318_20231127T124343_051403_063400_6EAE
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231201T010502_20231201T010527_051454_0635C0_48ED
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231202T125127_20231202T125152_051476_063689_754F
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231208T005648_20231208T005717_051556_063953_19FE
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231209T124318_20231209T124343_051578_063A0E_8349
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231213T010501_20231213T010526_051629_063BED_AB42
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231214T125127_20231214T125152_051651_063CAD_0F26
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231220T005647_20231220T005716_051731_063F73_025C
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231221T124317_20231221T124342_051753_064028_15AA
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231225T010500_20231225T010525_051804_0641F4_DEA5
data_acquisition_s1,S1A_IW_GRDH_1SDV_20231226T125126_20231226T125151_051826_0642B6_37EE
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240101T005647_20240101T005716_051906_064573_17B9
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240102T124316_20240102T124341_051928_064624_76B0
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240106T010500_20240106T010525_051979_0647F2_C203
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240107T125125_20240107T125150_052001_0648B7_2E24
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240113T005646_20240113T005715_052081_064B6D_9D41
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240114T124316_20240114T124341_052103_064C20_8517
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240118T010459_20240118T010524_052154_064DE0_61B2
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240119T125125_20240119T125150_052176_064EA2_E876
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240125T005646_20240125T005715_052256_06514B_3656
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240126T124316_20240126T124341_052278_0651FC_AF1F
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240130T010459_20240130T010524_052329_0653CA_7B45
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240131T125124_20240131T125149_052351_06548D_7911
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240206T005645_20240206T005715_052431_06573A_78D2
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240207T124315_20240207T124340_052453_0657ED_A931
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240211T010459_20240211T010524_052504_0659AC_50F9
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240212T125124_20240212T125149_052526_065A73_586E
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240218T005645_20240218T005714_052606_065D1D_E524
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240219T124315_20240219T124340_052628_065DD8_2786
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240223T010459_20240223T010524_052679_065FA4_7223
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240224T125124_20240224T125149_052701_066065_1495
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240301T005645_20240301T005714_052781_066320_3D3A
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240302T124315_20240302T124340_052803_0663CD_7B95
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240307T125124_20240307T125149_052876_066660_97A6
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240313T005645_20240313T005714_052956_066912_8CE2
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240314T124315_20240314T124340_052978_0669C2_B98D
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240319T125124_20240319T125149_053051_066CA5_A147
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240325T005646_20240325T005715_053131_066FAE_97D3
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240326T124315_20240326T124340_053153_067081_FC18
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240330T010459_20240330T010524_053204_06726F_6CBC
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240331T125125_20240331T125150_053226_067349_6BA5
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240406T005646_20240406T005715_053306_06765C_2CFC
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240407T124316_20240407T124341_053328_06773A_586D
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240411T010458_20240411T010523_053379_06794E_B8B1
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240412T125124_20240412T125149_053401_067A30_A3E8
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240418T005647_20240418T005716_053481_067D50_4B7D
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240419T124317_20240419T124342_053503_067E2C_7C8B
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240423T010500_20240423T010525_053554_068030_B167
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240424T125125_20240424T125150_053576_06810C_C603
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240430T005647_20240430T005716_053656_06842B_0C4E
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240501T124317_20240501T124342_053678_068502_F211
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240505T010500_20240505T010525_053729_068713_A0FF
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240506T125126_20240506T125151_053751_0687F5_6479
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240512T005647_20240512T005716_053831_068AC7_1269
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240513T124317_20240513T124342_053853_068B8F_762F
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240518T125126_20240518T125151_053926_068E0C_FF2C
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240524T005647_20240524T005716_054006_0690CB_25D0
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240525T124317_20240525T124342_054028_069191_C31C
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240529T010500_20240529T010525_054079_06935B_E116
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240530T125125_20240530T125150_054101_069420_B626
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240605T005646_20240605T005715_054181_0696D5_21C5
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240606T124316_20240606T124341_054203_06979B_84D2
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240610T010459_20240610T010524_054254_069966_2978
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240611T125125_20240611T125150_054276_069A2C_E87B
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240617T005646_20240617T005715_054356_069CE2_B350
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240618T124316_20240618T124341_054378_069DA6_898E
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240622T010459_20240622T010524_054429_069F72_F825
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240623T125124_20240623T125149_054451_06A03D_E64C
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240629T005645_20240629T005714_054531_06A2F3_6C9A
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240630T124315_20240630T124340_054553_06A3BF_BDE3
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240704T010458_20240704T010523_054604_06A58C_6197
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240705T125124_20240705T125149_054626_06A654_93F4
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240711T005645_20240711T005714_054706_06A90D_899F
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240712T124315_20240712T124340_054728_06A9D2_4CDB
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240716T010458_20240716T010523_054779_06AB98_5473
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240717T125123_20240717T125148_054801_06AC60_1ACC
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240723T005644_20240723T005713_054881_06AF21_7724
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240724T124314_20240724T124339_054903_06AFEA_7810
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240728T010457_20240728T010522_054954_06B1B5_AEEB
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240729T125123_20240729T125148_054976_06B27D_4812
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240805T124314_20240805T124339_055078_06B5EA_65A9
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240809T010457_20240809T010522_055129_06B7D4_3C79
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240810T125123_20240810T125148_055151_06B8A1_C080
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240816T005644_20240816T005713_055231_06BB87_1123
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240817T124314_20240817T124339_055253_06BC4E_44D3
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240821T010458_20240821T010523_055304_06BE37_4CCB
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240822T125123_20240822T125148_055326_06BF0D_EAF5
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240828T005645_20240828T005714_055406_06C204_02A9
data_acquisition_s1,S1A_IW_GRDH_1SDV_20240829T124315_20240829T124340_055428_06C2C6_A134
