stage,mean,changed_pixels_est
pearson_corr_period1,-0.007852116638850258,
pearson_corr_period2,-0.035951410786135965,
delta_corr,-0.028099294147285545,
r_t,0.011202614471082686,
moran_index,-1.1408273183063001E-4,
risk_index,0.23871664020160735,
change_mask,0.13872685371772803,7579.376470588242
